Index,Date,Sequences,Evagreen Run ID,Assay Run ID
0,20211209,"['1136', '1361', '6131', '1361', '1316', '1631', '1361', '1316', '1rr', '1636', '1361', '6131']",r1ggrhy388u8xm,r1ggs32xkan5dz
1,20211216,"['1136', '1361', '6131', '1361', '1316', '1631', '1361', '1316', '1rr', '1636', '1361', '6131']",r1ghbjznw8ecf9,r1ghern6b2dusr
2,20220110,"['3614', '1364', '1643', 'rrr', '4614', '1164', 'rc1', '6411', '4614', '3614', '1364', '1643']",r1gkruuu5whnge,r1gkv6r7ub5jbj
3,20220113,"['3614', '1364', '1643', 'rrr', '4614', '1164', '6114', '6141', '6611', '3614', '1364', '1643']",r1gkyyzzuw9yaf,r1gm42h9aw5tnk
4,20220125,"['3614', '1364', '1643', 'rrr', '4614', '1164', '6114', '6141', '6611', '3614', '1364', '1643']",r1gn7xfyhs9xxn,r1gnb8q95x9k9j
5,20220126,"['1363', '1346', '1266', '1644', '4rr', 'rc1', '6131', '6111', '6151', '3116', '6113', '3163']",r1gneb2rckzufn,r1gnhjzhrv6s2m
6,20220131,"['1363', '1346', '1266', '1644', '4rr', 'rc1', '6131', '6121', '6511', '3116', '6113', '3163']",r1gnyfvg3mwfm8,r1gp3q6we5a5jf
7,20220203,"['6313', '3113', '1613', '6113', '3116', '3161', '6521', 'cr1', '6211', '6311', '5316', '4315']",r1gpaqbvwwhsj6,r1gpdxjder2864
8,20220207,"['1613', '5316', '2313', '6113', '6131', '6114', 'cr1', '6311', '6514', '6315', '2311', '5311']",r1gpuwnkj65raw,r1gpy4f32p49y7
9,20220210,"['3361', '3316', '6312', '3613', '5113', '4113', '6314', '6cc', '6361', '6351', '5311', '6611']",r1gq3u4c5yh65f,r1gq6ux9xzgyz8
10,20220214,"['6316', '3312', '6512', '3613', '5113', '4113', '6314', '6cc', '6331', '6511', '6451', '6321']",r1gqhsrvkbfv8g,r1gqmqwhymmm2f
11,20220425,"['6316', '3312', '6512', '6136', '6251', '6511', 'rr1', '4311', '3311', '6551', '6521', '6411']",r1gycjgmc52nsm,r1gyfsw2us9zp3
12,20220428,"['6163', '6613', '6361', '6131', '6551', '6451', '6531', 'rr1', '6514', '6521', '6541', '6211']",r1gyka66qe3e8z,r1gypnunxubw3c
13,20220501,"['6163', '6613', '6361', '6211', '6221', '6241', '6531', '6512', '6515', '6251', '6252', '3251']",r1gz62avhxkewq,r1gz8w9e23tbtx
14,20220504,"['6362', '6562', '5362', '6351', '6221', '6256', '6513', '6512', '6561', '6412', '6416', '6556']",r1gzcg45dwnuug,r1gzfpbx9n6k52
15,20220509,"['6362', '6562', '5362', '6256', '2251', '3251', '6113', '6161', '6313', '6412', '6651', '6111']",r1gzt9k6xg44zv,r1gzwc5aavh66u
16,20220516,"['6351', '6311', '6321', '6531', '6311', '6521', '6512', '6543', '6213', '6151', '6241', '4251']",r1h2pwnejj7wum,r1h2t2v923xssq
17,20220519,"['6321', '6251', '2351', '6531', '6521', '6541', '6512', '6543', '6213', '6241', '4251', '2651']",r1h2wjn7vtwd82,r1h2zyfrtc7hzb
18,20220523,"['6651', '6151', '6451', '6111', '6512', '6151', '2211', '6221', '4111', '6553', '6353', '6513']",r1h3c5fshqkqmn,r1h3fempcm8jgb
19,20220525,"['6551', '3351', '2151', '6112', '6115', '6411', '6121', '6221', '6261', '6616', '6316', '6516']",r1h3k7c5whk7g9,r1h3p9esqt6d28
