Time [s],1111-500uM,1111-250uM,1111-125uM,1111-62.5uM,1111-31.25uM,1111-15.625uM,1111-7.8125uM,1111-3.90625,1111-500uM,1111-250uM,1111-125uM,1111-62.5uM,1111-31.25uM,1111-15.625uM,1111-7.8125uM,1111-3.90625,1111-500uM,1111-250uM,1111-125uM,1111-62.5uM,1111-31.25uM,1111-15.625uM,1111-7.8125uM,1111-3.90625,1111-500uM,1111-250uM,1111-125uM,1111-62.5uM,1111-31.25uM,1111-15.625uM,1111-7.8125uM,1111-3.90625
0.0,3842.0,5868.0,6287.0,6044.0,4516.0,3015.0,1903.0,1109.0,3642.0,5631.0,6362.0,5731.0,4494.0,3209.0,1870.0,1100.0,3829.0,5673.0,6279.0,5949.0,4500.0,3134.0,1955.0,1097.0,3837.0,5732.0,6852.0,5836.0,4574.0,3279.0,1929.0,1095.0
119.815,13284.0,14264.0,12761.0,11200.0,7673.0,4746.0,2836.0,1627.0,12153.0,13492.0,12987.0,10558.0,7534.0,4990.0,2826.0,1594.0,12296.0,13542.0,12810.0,10615.0,7668.0,4871.0,2855.0,1574.0,12827.0,13434.0,13416.0,10683.0,7744.0,5020.0,2806.0,1598.0
239.817,22724.0,21495.0,19016.0,16125.0,10668.0,6422.0,3732.0,2041.0,20618.0,20737.0,19098.0,15026.0,10367.0,6570.0,3576.0,2003.0,21447.0,21084.0,19217.0,14644.0,10417.0,6476.0,3696.0,1995.0,21832.0,20948.0,19248.0,15376.0,10674.0,6685.0,3663.0,2003.0
359.828,31520,28429,24897,20002,13246,7689,4429,2405,28503,27432,24982,19281,13068,8033,4270,2353,29391,27577,24590,19067,13280,7807,4439,2351,30194,27558,24857,19424,13255,8178,4382,2379
479.822,38917.0,35106.0,29811.0,23694.0,15252.0,8945.0,5055.0,2728.0,35804.0,33498.0,29945.0,22587.0,15298.0,9324.0,4977.0,2648.0,36788.0,33587.0,29961.0,22810.0,15692.0,9080.0,5035.0,2638.0,37525.0,33962.0,29859.0,22806.0,15551.0,9400.0,5041.0,2718.0
599.827,45204.0,39720.0,33614.0,26909.0,17147.0,10024.0,5511.0,2968.0,41962.0,38969.0,34010.0,25601.0,17217.0,10402.0,5467.0,2938.0,42777.0,38864.0,33959.0,25792.0,17468.0,10023.0,5625.0,2878.0,44481.0,38992.0,34288.0,25993.0,17498.0,10385.0,5602.0,2953.0
719.842,50377.0,44221.0,37597.0,29610.0,18658.0,10981.0,6028.0,3221.0,47181.0,43837.0,37960.0,28179.0,18847.0,11185.0,5932.0,3159.0,48256.0,43580.0,38074.0,28245.0,19232.0,11002.0,6080.0,3164.0,49961.0,44170.0,37758.0,28575.0,19194.0,11288.0,5995.0,3171.0
839.836,54809.0,48059.0,40746.0,31917.0,20161.0,11610.0,6404.0,3373.0,52274.0,47497.0,41234.0,30493.0,20153.0,12104.0,6314.0,3345.0,53302.0,48008.0,41952.0,30479.0,20652.0,11799.0,6415.0,3375.0,55140.0,47467.0,41775.0,30825.0,20731.0,12006.0,6331.0,3374.0
959.825,59498,51665,43852,33726,21509,12317,6720,3540,55857,50706,44420,32339,21342,12738,6614,3526,56976,51151,44524,32090,22135,12346,6753,3510,OVER,51571,44710,32805,22072,12710,6744,3531
1079.825,62658,55060,46750,35669,22555,12914,7000,3721,OVER,54846,46891,34398,22112,13065,6996,3617,OVER,54834,46594,34277,23290,12922,7050,3654,OVER,54972,47892,35069,23410,13158,7103,3673
1199.828,OVER,57962,48799,36703,23389,13390,7209,3789,OVER,57226,49279,36016,23565,13888,7122,3759,OVER,57233,49574,35921,24380,13422,7327,3734,OVER,57621,49825,37136,24125,13623,7266,3716
1319.819,OVER,59824,51449,38176,24159,13858,7476,3890,OVER,59841,51586,37432,24142,14089,7435,3823,OVER,59035,51612,36643,25381,13919,7453,3909,OVER,60202,52455,38438,25569,14126,7495,3837
1439.829,OVER,OVER,52805,39524,25564,14254,7627,3976,OVER,OVER,53259,38758,25136,14389,7535,3891,OVER,OVER,53516,38393,26037,13938,7725,3999,OVER,OVER,54509,40059,26510,14468,7741,3928
1559.827,OVER,OVER,54645,40697,25440,14604,7791,4090,OVER,OVER,55117,39397,26009,14825,7627,3976,OVER,OVER,54690,39329,26778,14567,7860,4082,OVER,OVER,55455,40882,26952,14774,7885,4022
1679.826,OVER,OVER,56275,40984,26156,14907,7838,4136,OVER,OVER,55831,40640,26082,14960,7678,4026,OVER,OVER,56394,40051,27586,14519,7926,4114,OVER,OVER,56810,41916,27512,15071,8027,4029
